Hash Function,Elapsed Time (seconds)
AbseilHash,0.001931
AbseilHash,0.002152
AbseilHash,0.001922
AbseilHash,0.002151
AbseilHash,0.001922
AbseilHash,0.002145
AbseilHash,0.001929
AbseilHash,0.002145
AbseilHash,0.001955
AbseilHash,0.002114
STDHashSrc,0.000150
STDHashSrc,0.000135
STDHashSrc,0.000135
STDHashSrc,0.000142
STDHashSrc,0.000134
STDHashSrc,0.000135
STDHashSrc,0.000136
STDHashSrc,0.000135
STDHashSrc,0.000135
STDHashSrc,0.000135
FNVHash,0.000695
FNVHash,0.000747
FNVHash,0.000674
FNVHash,0.000631
FNVHash,0.000631
FNVHash,0.000632
FNVHash,0.000696
FNVHash,0.000749
FNVHash,0.000669
FNVHash,0.000631
CityHash,0.000159
CityHash,0.000159
CityHash,0.000159
CityHash,0.000159
CityHash,0.000159
CityHash,0.000160
CityHash,0.000159
CityHash,0.000159
CityHash,0.000158
CityHash,0.000158
PextUrl,0.000039
PextUrl,0.000058
PextUrl,0.000036
PextUrl,0.000036
PextUrl,0.000036
PextUrl,0.000036
PextUrl,0.000036
PextUrl,0.000036
PextUrl,0.000036
PextUrl,0.000035
OffXorUrl,0.000036
OffXorUrl,0.000035
OffXorUrl,0.000035
OffXorUrl,0.000035
OffXorUrl,0.000035
OffXorUrl,0.000035
OffXorUrl,0.000035
OffXorUrl,0.000035
OffXorUrl,0.000035
OffXorUrl,0.000035
NaiveUrl,0.000048
NaiveUrl,0.000047
NaiveUrl,0.000047
NaiveUrl,0.000047
NaiveUrl,0.000047
NaiveUrl,0.000047
NaiveUrl,0.000047
NaiveUrl,0.000047
NaiveUrl,0.000047
NaiveUrl,0.000068
AesUrl,0.000033
AesUrl,0.000031
AesUrl,0.000032
AesUrl,0.000032
AesUrl,0.000031
AesUrl,0.000032
AesUrl,0.000032
AesUrl,0.000031
AesUrl,0.000032
AesUrl,0.000031
GptUrl,0.000192
GptUrl,0.000192
GptUrl,0.000192
GptUrl,0.000192
GptUrl,0.000192
GptUrl,0.000192
GptUrl,0.000192
GptUrl,0.000192
GptUrl,0.000192
GptUrl,0.000192
GperfUrl,0.000038
GperfUrl,0.000037
GperfUrl,0.000037
GperfUrl,0.000037
GperfUrl,0.000037
GperfUrl,0.000037
GperfUrl,0.000037
GperfUrl,0.000037
GperfUrl,0.000037
GperfUrl,0.000037
